Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/tasks/69ba6b9bcfc15ea9c122ac71,1,0,529.5773620000546,529.5773620000546,529.5773620000546,529.5773620000546,186.0,0.017339164950200662,0.0,530,530,530,530,530,530,530,530,530,530,530
PATCH,/api/tasks/69ba6b9bcfc15ea9c122ac71,1,1,44.29012099990359,44.29012099990359,44.29012099990359,44.29012099990359,42.0,0.017339164950200662,0.017339164950200662,44,44,44,44,44,44,44,44,44,44,44
DELETE,/api/tasks/69ba6b9bcfc15ea9c122ac72,1,0,188.54138999995484,188.54138999995484,188.54138999995484,188.54138999995484,31.0,0.017339164950200662,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/tasks/69ba6b9bcfc15ea9c122ac72,1,0,194.3865539997205,194.3865539997205,194.3865539997205,194.3865539997205,186.0,0.017339164950200662,0.0,190,190,190,190,190,190,190,190,190,190,190
PATCH,/api/tasks/69ba6b9bcfc15ea9c122ac72,1,1,27.928297000016755,27.928297000016755,27.928297000016755,27.928297000016755,42.0,0.017339164950200662,0.017339164950200662,28,28,28,28,28,28,28,28,28,28,28
DELETE,/api/tasks/69ba6b9bcfc15ea9c122ac73,1,0,439.6664679998139,439.6664679998139,439.6664679998139,439.6664679998139,31.0,0.017339164950200662,0.0,440,440,440,440,440,440,440,440,440,440,440
GET,/api/tasks/69ba6b9bcfc15ea9c122ac73,1,0,123.39437300033751,123.39437300033751,123.39437300033751,123.39437300033751,186.0,0.017339164950200662,0.0,120,120,120,120,120,120,120,120,120,120,120
PATCH,/api/tasks/69ba6b9bcfc15ea9c122ac73,1,1,126.50087300016821,126.50087300016821,126.50087300016821,126.50087300016821,42.0,0.017339164950200662,0.017339164950200662,130,130,130,130,130,130,130,130,130,130,130
DELETE,/api/tasks/69ba6b9bcfc15ea9c122ac74,1,0,56.655784000213316,56.655784000213316,56.655784000213316,56.655784000213316,31.0,0.017339164950200662,0.0,57,57,57,57,57,57,57,57,57,57,57
GET,/api/tasks/69ba6b9bcfc15ea9c122ac74,1,0,527.8988659997594,527.8988659997594,527.8988659997594,527.8988659997594,186.0,0.017339164950200662,0.0,530,530,530,530,530,530,530,530,530,530,530
PATCH,/api/tasks/69ba6b9bcfc15ea9c122ac74,1,1,45.8783490003043,45.8783490003043,45.8783490003043,45.8783490003043,42.0,0.017339164950200662,0.017339164950200662,46,46,46,46,46,46,46,46,46,46,46
DELETE,/api/tasks/69ba6b9bcfc15ea9c122ac75,1,0,53.35230400032742,53.35230400032742,53.35230400032742,53.35230400032742,31.0,0.017339164950200662,0.0,53,53,53,53,53,53,53,53,53,53,53
GET,/api/tasks/69ba6b9bcfc15ea9c122ac75,1,0,438.50771699999314,438.50771699999314,438.50771699999314,438.50771699999314,186.0,0.017339164950200662,0.0,440,440,440,440,440,440,440,440,440,440,440
PATCH,/api/tasks/69ba6b9bcfc15ea9c122ac75,1,1,56.19788200010589,56.19788200010589,56.19788200010589,56.19788200010589,42.0,0.017339164950200662,0.017339164950200662,56,56,56,56,56,56,56,56,56,56,56
DELETE,/api/tasks/69ba6b9bcfc15ea9c122ac76,1,0,68.29342199989696,68.29342199989696,68.29342199989696,68.29342199989696,31.0,0.017339164950200662,0.0,68,68,68,68,68,68,68,68,68,68,68
GET,/api/tasks/69ba6b9bcfc15ea9c122ac76,1,0,250.99011000020255,250.99011000020255,250.99011000020255,250.99011000020255,186.0,0.017339164950200662,0.0,250,250,250,250,250,250,250,250,250,250,250
PATCH,/api/tasks/69ba6b9bcfc15ea9c122ac76,1,1,304.6165860000656,304.6165860000656,304.6165860000656,304.6165860000656,42.0,0.017339164950200662,0.017339164950200662,300,300,300,300,300,300,300,300,300,300,300
DELETE,/api/tasks/69ba6b9ccfc15ea9c122ac77,1,0,33.27592799996637,33.27592799996637,33.27592799996637,33.27592799996637,31.0,0.017339164950200662,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/api/tasks/69ba6b9ccfc15ea9c122ac77,1,0,33.92672899963145,33.92672899963145,33.92672899963145,33.92672899963145,186.0,0.017339164950200662,0.0,34,34,34,34,34,34,34,34,34,34,34
PATCH,/api/tasks/69ba6b9ccfc15ea9c122ac77,1,1,46.61207400022249,46.61207400022249,46.61207400022249,46.61207400022249,42.0,0.017339164950200662,0.017339164950200662,47,47,47,47,47,47,47,47,47,47,47
DELETE,/api/tasks/69ba6ba0cfc15ea9c122ac78,1,0,58.4198319997995,58.4198319997995,58.4198319997995,58.4198319997995,31.0,0.017339164950200662,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/api/tasks/69ba6ba0cfc15ea9c122ac78,1,0,35.26487299996006,35.26487299996006,35.26487299996006,35.26487299996006,186.0,0.017339164950200662,0.0,35,35,35,35,35,35,35,35,35,35,35
PATCH,/api/tasks/69ba6ba0cfc15ea9c122ac78,1,1,35.50682000013694,35.50682000013694,35.50682000013694,35.50682000013694,42.0,0.017339164950200662,0.017339164950200662,36,36,36,36,36,36,36,36,36,36,36
DELETE,/api/tasks/69ba6ba4cfc15ea9c122ac79,1,0,43.300858000293374,43.300858000293374,43.300858000293374,43.300858000293374,31.0,0.017339164950200662,0.0,43,43,43,43,43,43,43,43,43,43,43
GET,/api/tasks/69ba6ba4cfc15ea9c122ac79,1,0,304.0297749998899,304.0297749998899,304.0297749998899,304.0297749998899,186.0,0.017339164950200662,0.0,300,300,300,300,300,300,300,300,300,300,300
PATCH,/api/tasks/69ba6ba4cfc15ea9c122ac79,1,1,49.35589499973503,49.35589499973503,49.35589499973503,49.35589499973503,42.0,0.017339164950200662,0.017339164950200662,49,49,49,49,49,49,49,49,49,49,49
DELETE,/api/tasks/69ba6ba5cfc15ea9c122ac7a,1,0,72.92086400002518,72.92086400002518,72.92086400002518,72.92086400002518,31.0,0.017339164950200662,0.0,73,73,73,73,73,73,73,73,73,73,73
